Titre,Categorie,Description,Lien,Phase,Type
@vue/test-utils,Frontend,Utilitaires de tests pour composants Vue,https://test-utils.vuejs.org/,Phase 2,Documentation
A Philosophy of Software Design — John Ousterhout,Architecture,Alternative moderne a Clean Code,,Toutes,Livre
AssertJ,Backend,Assertions fluides pour Java,https://assertj.github.io/doc/,Phase 1,Documentation
Baeldung,Backend,Tutoriels Java et Spring de qualite,https://www.baeldung.com/,Toutes,Documentation
Bruno,Outils,Client HTTP open source,https://docs.usebruno.com/,Phase 1,Documentation
Bucket4j,Backend,Rate limiting Java,https://bucket4j.com/,Phase 3,Documentation
Claude API (Anthropic),API externe,API IA pour les indices socratiques,https://docs.anthropic.com/,Phase 4,Documentation
Clean Code — Robert C. Martin,Architecture,SOLID et bonnes pratiques de code,,Toutes,Livre
Coding Dojo,Katas,Catalogue de katas classiques,https://codingdojo.org/kata/,Toutes,Ressource
Continuous Delivery — Dave Farley,Infrastructure,Chaine YouTube CI/CD et ingenierie logicielle,https://www.youtube.com/@ContinuousDelivery,Toutes,Youtube
Conventional Commits,Outils,Specification des messages de commit,https://www.conventionalcommits.org/fr/v1.0.0/,Phase 0,Documentation
Conventional Commits KataSensei,Guide interne,Guide KataSensei — exemples de commits en francais,https://www.notion.so/33047a063e5481239921ec4986ad78a7,Toutes,Guide KS
Cyber-Dojo,Katas,Katas en TDD directement dans le navigateur,https://cyber-dojo.org/,Toutes,Ressource
DataGrip,Outils,Client base de donnees integre IntelliJ,https://www.jetbrains.com/help/datagrip/getting-started.html,Phase 1,Documentation
DDD & Clean Architecture (Khalil),Architecture,DDD applique en TypeScript et Java,https://khalilstemmler.com/,Phase 2,Ressource
Designing Data-Intensive Applications — Martin Kleppmann,Architecture,Pour la v2 — architecture distribuee,,Toutes,Livre
Docker,Infrastructure,Documentation officielle Docker,https://docs.docker.com/,Phase 0,Documentation
Docker multi-stage builds,Infrastructure,Optimisation images Docker avec le multi-stage,https://docs.docker.com/build/building/multi-stage/,Phase 7,Documentation
Exercism,Katas,Katas avec mentoring,https://exercism.org/,Toutes,Ressource
Fireship,Frontend,Explications rapides Vue et TypeScript,https://www.youtube.com/@Fireship,Toutes,Youtube
http://Fly.io,Infrastructure,Hebergement et deploiement,https://fly.io/docs/,Phase 0,Documentation
Flyway,Backend,Migrations SQL versionnees,https://flywaydb.org/documentation/,Phase 1,Documentation
Galileo AI,Outils,Générateur de maquettes Figma depuis un prompt,https://www.usegalileo.ai/,Toutes,Ressource
GitHub Actions docs,Infrastructure,Documentation officielle GitHub Actions,https://docs.github.com/fr/actions,Phase 7,Documentation
GitLab,Infrastructure,Documentation GitLab,https://docs.gitlab.com/,Phase 0,Documentation
Hexagonal Architecture (Cockburn),Architecture,Article fondateur de l architecture hexagonale,https://alistair.cockburn.us/hexagonal-architecture/,Phase 4,Ressource
IntelliJ IDEA,Outils,Documentation IDE,https://www.jetbrains.com/help/idea/getting-started.html,Phase 0,Documentation
jjwt,Backend,Librairie JWT pour Java,https://github.com/jwtk/jjwt,Phase 3,Documentation
JUnit 5,Backend,Framework de tests Java,https://junit.org/junit5/docs/current/user-guide/,Phase 1,Documentation
Kata.log,Katas,Catalogue de katas de code,https://kata.log.rocks/,Toutes,Ressource
Lydia Hallie — JavaScript Visualized,Frontend,Articles visuels sur JavaScript et TypeScript,https://dev.to/lydiahallie,Phase 2,Ressource
Maven docs,Backend,Documentation officielle Maven,https://maven.apache.org/guides/,Phase 0,Documentation
Mockito,Backend,Mocks et stubs pour Java,https://javadoc.io/doc/org.mockito/mockito-core/latest/index.html,Phase 1,Documentation
Oh My ZsH,Outils,Framework ZSH,https://ohmyz.sh/,Toutes,Documentation
OpenAPI 3,Backend,Specification contrat API,https://spec.openapis.org/oas/v3.0.3,Phase 6,Documentation
openapi-generator (TypeScript Axios),Frontend,Generateur de client TypeScript depuis spec OpenAPI,https://openapi-generator.tech/docs/generators/typescript-axios,Phase 6,Documentation
Optional en Java — guide interne,Guide interne,Guide KataSensei — methodes utilisees dans le projet,https://www.notion.so/33047a063e5481068baee136d42b6993,Phase 1,Documentation
Optional Java,Backend,Javadoc officielle Optional Java 21,https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/util/Optional.html,Phase 1,Guide KS
OWASP Top 10,Securite,Les 10 vulnerabilites web les plus critiques,https://owasp.org/www-project-top-ten/,Phase 3,Documentation
http://Patterns.dev (Addy Osmani),Frontend,Design patterns modernes JavaScript et Vue,https://www.patterns.dev/,Phase 2,Ressource
Pinia,Frontend,Store officiel Vue 3,https://pinia.vuejs.org/,Phase 2,Documentation
Piston API,API externe,Execution de code en sandbox,https://github.com/engineer-man/piston,Phase 4,Documentation
Playwright,Frontend,Tests end-to-end,https://playwright.dev/,Phase 6,Documentation
Powerlevel10k,Infrastructure,Theme ZSH recommande pour le terminal,https://github.com/romkatv/powerlevel10k,Phase 0,Documentation
Problem Details RFC 7807,Backend,Standard HTTP pour les erreurs API,https://www.rfc-editor.org/rfc/rfc7807,Phase 1,Documentation
Redis docs,Infrastructure,Documentation officielle Redis,https://redis.io/docs/,Phase 5,Documentation
Refactoring Guru,Architecture,Catalogue des design patterns avec exemples,https://refactoring.guru/fr/design-patterns,Phase 4,Ressource
SDKMAN,Infrastructure,Gestionnaire de versions Java,https://sdkman.io/,Phase 0,Documentation
Seb Rose — TDD & Software Craft,Architecture,Chaine YouTube sur le TDD et le Software Craftsmanship,https://www.youtube.com/@sebrose,Toutes,Youtube
Sentry (Spring Boot),Backend,Monitoring et suivi d erreurs en production,https://docs.sentry.io/platforms/java/guides/spring-boot/,Phase 6,Documentation
Server-Sent Events (MDN),Backend,Reference MDN sur les SSE,https://developer.mozilla.org/fr/docs/Web/API/Server-sent_events,Phase 5,Documentation
shadcn-vue,Frontend,Composants Vue non-opinionnaires copiables dans le projet,https://www.shadcn-vue.com/,Phase 0,Documentation
Software Crafters Lyon,Guide interne,Communaute Software Crafters Lyon,https://www.softwarecrafters.org/,Toutes,Ressource
Spring Actuator docs,Backend,Metriques et health checks Spring Boot,https://docs.spring.io/spring-boot/docs/current/reference/html/actuator.html,Phase 7,Documentation
Spring Boot 3,Backend,Documentation officielle Spring Boot,https://docs.spring.io/spring-boot/docs/current/reference/htmlsingle/,Phase 0,Documentation
Spring Cache docs,Backend,"Documentation Spring Cache (@Cacheable, @CacheEvict)",https://docs.spring.io/spring-framework/reference/integration/cache.html,Phase 5,Documentation
Spring Data JPA,Backend,ORM et repositories Spring,https://docs.spring.io/spring-data/jpa/docs/current/reference/html/,Phase 1,Documentation
Spring Events docs,Backend,Documentation Spring Events (Observer pattern),https://docs.spring.io/spring-framework/reference/core/beans/context-introduction.html,Phase 5,Documentation
Spring Initializr,Backend,Generateur de projet Spring Boot,https://start.spring.io/,Phase 0,Documentation
Spring Security,Backend,Documentation Spring Security,https://docs.spring.io/spring-security/reference/,Phase 3,Documentation
Stylelint,Frontend,Linter CSS — détecte les erreurs de style dans les SFC Vue,https://stylelint.io/,Phase 0,Documentation
stylelint-config-recommended-vue,Frontend,Config Stylelint pour les fichiers .vue,https://github.com/ota-meshi/stylelint-config-recommended-vue,Phase 0,Documentation
Test-Driven Development: By Example — Kent Beck,Architecture,La bible du TDD,,Toutes,Livre
Testcontainers,Backend,Vraie DB dans les tests d integration,https://testcontainers.com/guides/getting-started-with-testcontainers-for-java/,Phase 6,Documentation
Theo — http://t3.gg,Frontend,TypeScript avance et ecosystem moderne,https://www.youtube.com/@t3dotgg,Toutes,Youtube
Total TypeScript (Matt Pocock),Frontend,Masterclass TypeScript avance,https://www.totaltypescript.com/,Phase 2,Ressource
Trivy — scan Docker,Securite,Scan de vulnerabilites sur les images Docker,https://aquasecurity.github.io/trivy/,Phase 7,Documentation
TypeScript,Frontend,Documentation officielle TypeScript,https://www.typescriptlang.org/docs/,Phase 0,Documentation
TypeScript Deep Dive (Basarat),Frontend,Reference approfondie TypeScript — gratuite en ligne,https://basarat.gitbook.io/typescript/,Phase 2,Ressource
Uizard,Outils,Générateur de maquettes Figma depuis un prompt — plan gratuit disponible,https://uizard.io/,Toutes,Ressource
Utiliser DataGrip dans KataSensei,Guide interne,Guide KataSensei — connexion et requetes,https://www.notion.so/33047a063e54818db219f3177cded652,Phase 1,Guide KS
http://v0.dev (Vercel),Outils,Générateur de composants shadcn depuis un prompt — référence visuelle pour les composants Vue,https://v0.dev/,Toutes,Ressource
Vaughn Vernon — Implementing DDD,Architecture,Le livre de reference DDD,https://www.oreilly.com/library/view/implementing-domain-driven-design/9780133039900/,Phase 4,Livre
Vite,Frontend,Build tool et dev server,https://vitejs.dev/,Phase 0,Documentation
Vitest,Frontend,Framework de tests unitaires Vue,https://vitest.dev/,Phase 1,Documentation
Vue 3,Frontend,Documentation officielle Vue 3,https://vuejs.org/guide/introduction.html,Phase 0,Documentation
Vue Router,Frontend,Routeur officiel Vue 3,https://router.vuejs.org/,Phase 0,Documentation
WSL2,Infrastructure,Linux sous Windows,https://docs.microsoft.com/fr-fr/windows/wsl/install,Phase 0,Documentation